code,description
412,Old myocardial infarction
0939,"Cardiovascular syphilis, unspecified"
1303,Myocarditis due to toxoplasmosis
03282,Diphtheritic myocarditis
03640,"Meningococcal carditis, unspecified"
03641,Meningococcal pericarditis
03642,Meningococcal endocarditis
03643,Meningococcal myocarditis
4110,Postmyocardial infarction syndrome
4111,Intermediate coronary syndrome
4130,Angina decubitus
4131,Prinzmetal angina
4139,Other and unspecified angina pectoris
4142,Chronic total occlusion of coronary artery
4143,Coronary atherosclerosis due to lipid rich plaque
4144,Coronary atherosclerosis due to calcified coronary lesion
4148,Other specified forms of chronic ischemic heart disease
4149,"Chronic ischemic heart disease, unspecified"
4150,Acute cor pulmonale
4200,Acute pericarditis in diseases classified elsewhere
4210,Acute and subacute bacterial endocarditis
4211,Acute and subacute infective endocarditis in diseases classified elsewhere
4219,"Acute endocarditis, unspecified"
4220,Acute myocarditis in diseases classified elsewhere
4230,Hemopericardium
4231,Adhesive pericarditis
4232,Constrictive pericarditis
4233,Cardiac tamponade
4238,Other specified diseases of pericardium
4239,Unspecified disease of pericardium
4240,Mitral valve disorders
4241,Aortic valve disorders
4242,"Tricuspid valve disorders, specified as nonrheumatic"
4243,Pulmonary valve disorders
4250,Endomyocardial fibrosis
4252,Obscure cardiomyopathy of Africa
4253,Endocardial fibroelastosis
4254,Other primary cardiomyopathies
4255,Alcoholic cardiomyopathy
4257,Nutritional and metabolic cardiomyopathy
4258,Cardiomyopathy in other diseases classified elsewhere
4259,"Secondary cardiomyopathy, unspecified"
4260,"Atrioventricular block, complete"
4262,Left bundle branch hemiblock
4263,Other left bundle branch block
4264,Right bundle branch block
4266,Other heart block
4267,Anomalous atrioventricular excitation
4269,"Conduction disorder, unspecified"
4270,Paroxysmal supraventricular tachycardia
4271,Paroxysmal ventricular tachycardia
4272,"Paroxysmal tachycardia, unspecified"
4275,Cardiac arrest
4279,"Cardiac dysrhythmia, unspecified"
4280,"Congestive heart failure, unspecified"
4281,Left heart failure
4289,"Heart failure, unspecified"
4290,"Myocarditis, unspecified"
4291,Myocardial degeneration
4292,"Cardiovascular disease, unspecified"
4293,Cardiomegaly
4294,Functional disturbances following cardiac surgery
4295,Rupture of chordae tendineae
4296,Rupture of papillary muscle
4299,"Heart disease, unspecified"
07420,"Coxsackie carditis, unspecified"
07421,Coxsackie pericarditis
07422,Coxsackie endocarditis
07423,Coxsackie myocarditis
7457,Cor biloculare
7458,Other bulbus cordis anomalies and anomalies of cardiac septal closure
7459,Unspecified defect of septal closure
7461,"Tricuspid atresia and stenosis, congenital"
7462,Ebstein's anomaly
7463,Congenital stenosis of aortic valve
7464,Congenital insufficiency of aortic valve
7465,Congenital mitral stenosis
7466,Congenital mitral insufficiency
7467,Hypoplastic left heart syndrome
7469,Unspecified congenital anomaly of heart
7470,Patent ductus arteriosus
7850,"Tachycardia, unspecified"
7851,Palpitations
7852,Undiagnosed cardiac murmurs
7853,Other abnormal heart sounds
7859,Other symptoms involving cardiovascular system
09320,"Syphilitic endocarditis of valve, unspecified"
09321,Syphilitic endocarditis of mitral valve
09322,Syphilitic endocarditis of aortic valve
09323,Syphilitic endocarditis of tricuspid valve
09324,Syphilitic endocarditis of pulmonary valve
09381,Syphilitic pericarditis
09382,Syphilitic myocarditis
09389,Other specified cardiovascular syphilis
09883,Gonococcal pericarditis
09884,Gonococcal endocarditis
09885,Other gonococcal heart disease
11503,"Infection by Histoplasma capsulatum, pericarditis"
11504,"Infection by Histoplasma capsulatum, endocarditis"
11513,"Infection by Histoplasma duboisii, pericarditis"
11514,"Infection by Histoplasma duboisii, endocarditis"
11593,"Histoplasmosis, unspecified, pericarditis"
11594,"Histoplasmosis, unspecified, endocarditis"
41000,"Acute myocardial infarction of anterolateral wall, episode of care unspecified"
41001,"Acute myocardial infarction of anterolateral wall, initial episode of care"
41002,"Acute myocardial infarction of anterolateral wall, subsequent episode of care"
41010,"Acute myocardial infarction of other anterior wall, episode of care unspecified"
41011,"Acute myocardial infarction of other anterior wall, initial episode of care"
41012,"Acute myocardial infarction of other anterior wall, subsequent episode of care"
41020,"Acute myocardial infarction of inferolateral wall, episode of care unspecified"
41021,"Acute myocardial infarction of inferolateral wall, initial episode of care"
41022,"Acute myocardial infarction of inferolateral wall, subsequent episode of care"
41030,"Acute myocardial infarction of inferoposterior wall, episode of care unspecified"
41031,"Acute myocardial infarction of inferoposterior wall, initial episode of care"
41032,"Acute myocardial infarction of inferoposterior wall, subsequent episode of care"
41040,"Acute myocardial infarction of other inferior wall, episode of care unspecified"
41041,"Acute myocardial infarction of other inferior wall, initial episode of care"
41042,"Acute myocardial infarction of other inferior wall, subsequent episode of care"
41050,"Acute myocardial infarction of other lateral wall, episode of care unspecified"
41051,"Acute myocardial infarction of other lateral wall, initial episode of care"
41052,"Acute myocardial infarction of other lateral wall, subsequent episode of care"
41060,"True posterior wall infarction, episode of care unspecified"
41061,"True posterior wall infarction, initial episode of care"
41062,"True posterior wall infarction, subsequent episode of care"
41070,"Subendocardial infarction, episode of care unspecified"
41071,"Subendocardial infarction, initial episode of care"
41072,"Subendocardial infarction, subsequent episode of care"
41080,"Acute myocardial infarction of other specified sites, episode of care unspecified"
41081,"Acute myocardial infarction of other specified sites, initial episode of care"
41082,"Acute myocardial infarction of other specified sites, subsequent episode of care"
41090,"Acute myocardial infarction of unspecified site, episode of care unspecified"
41091,"Acute myocardial infarction of unspecified site, initial episode of care"
41092,"Acute myocardial infarction of unspecified site, subsequent episode of care"
41181,Acute coronary occlusion without myocardial infarction
41189,"Other acute and subacute forms of ischemic heart disease, other"
41400,"Coronary atherosclerosis of unspecified type of vessel, native or graft"
41401,Coronary atherosclerosis of native coronary artery
41402,Coronary atherosclerosis of autologous vein bypass graft
41403,Coronary atherosclerosis of nonautologous biological bypass graft
41404,Coronary atherosclerosis of artery bypass graft
41405,Coronary atherosclerosis of unspecified bypass graft
41406,Coronary atherosclerosis of native coronary artery of transplanted heart
41407,Coronary atherosclerosis of bypass graft (artery) (vein) of transplanted heart
41410,Aneurysm of heart (wall)
41411,Aneurysm of coronary vessels
41412,Dissection of coronary artery
41419,Other aneurysm of heart
42090,"Acute pericarditis, unspecified"
42091,Acute idiopathic pericarditis
42099,Other acute pericarditis
42290,"Acute myocarditis, unspecified"
42291,Idiopathic myocarditis
42292,Septic myocarditis
42293,Toxic myocarditis
42299,Other acute myocarditis
42490,"Endocarditis, valve unspecified, unspecified cause"
42491,Endocarditis in diseases classified elsewhere
42499,"Other endocarditis, valve unspecified"
42511,Hypertrophic obstructive cardiomyopathy
42518,Other hypertrophic cardiomyopathy
42610,"Atrioventricular block, unspecified"
42611,First degree atrioventricular block
42612,Mobitz (type) II atrioventricular block
42613,Other second degree atrioventricular block
42650,"Bundle branch block, unspecified"
42651,Right bundle branch block and left posterior fascicular block
42652,Right bundle branch block and left anterior fascicular block
42653,Other bilateral bundle branch block
42654,Trifascicular block
42681,Lown-Ganong-Levine syndrome
42682,Long QT syndrome
42689,Other specified conduction disorders
42731,Atrial fibrillation
42732,Atrial flutter
42741,Ventricular fibrillation
42742,Ventricular flutter
42760,"Premature beats, unspecified"
42761,Supraventricular premature beats
42769,Other premature beats
42781,Sinoatrial node dysfunction
42789,Other specified cardiac dysrhythmias
42820,"Systolic heart failure, unspecified"
42821,Acute systolic heart failure
42822,Chronic systolic heart failure
42823,Acute on chronic systolic heart failure
42830,"Diastolic heart failure, unspecified"
42831,Acute diastolic heart failure
42832,Chronic diastolic heart failure
42833,Acute on chronic diastolic heart failure
42840,"Combined systolic and diastolic heart failure, unspecified"
42841,Acute combined systolic and diastolic heart failure
42842,Chronic combined systolic and diastolic heart failure
42843,Acute on chronic combined systolic and diastolic heart failure
42971,Acquired cardiac septal defect
42979,"Certain sequelae of myocardial infarction, not elsewhere classified, other"
42981,Other disorders of papillary muscle
42982,Hyperkinetic heart disease
42983,Takotsubo syndrome
42989,Other ill-defined heart diseases
66810,"Cardiac complications of anesthesia or other sedation in labor and delivery, unspecified as to episode of care or not applicable"
66811,"Cardiac complications of anesthesia or other sedation in labor and delivery, delivered, with or without mention of antepartum condition"
66812,"Cardiac complications of anesthesia or other sedation in labor and delivery, delivered, with mention of postpartum complication"
66813,"Cardiac complications of anesthesia or other sedation in labor and delivery, antepartum condition or complication"
66814,"Cardiac complications of anesthesia or other sedation in labor and delivery, postpartum condition or complication"
67450,"Peripartum cardiomyopathy, unspecified as to episode of care or not applicable"
67451,"Peripartum cardiomyopathy, delivered, with or without mention of antepartum condition"
67452,"Peripartum cardiomyopathy, delivered, with mention of postpartum condition"
67453,"Peripartum cardiomyopathy, antepartum condition or complication"
67454,"Peripartum cardiomyopathy, postpartum condition or complication"
74600,"Congenital pulmonary valve anomaly, unspecified"
74601,"Atresia of pulmonary valve, congenital"
74602,"Stenosis of pulmonary valve, congenital"
74609,Other congenital anomalies of pulmonary valve
74681,Subaortic stenosis
74682,Cor triatriatum
74683,Infundibular pulmonic stenosis
74684,"Obstructive anomalies of heart, not elsewhere classified"
74685,Coronary artery anomaly
74686,Congenital heart block
74687,Malposition of heart and cardiac apex
74689,Other specified congenital anomalies of heart
74710,Coarctation of aorta (preductal) (postductal)
74711,Interruption of aortic arch
74720,"Anomaly of aorta, unspecified"
74721,Anomalies of aortic arch
74722,Atresia and stenosis of aorta
74729,Other anomalies of aorta
74731,Pulmonary artery coarctation and atresia
74732,Pulmonary arteriovenous malformation
74739,Other anomalies of pulmonary artery and pulmonary circulation
74740,"Anomaly of great veins, unspecified"
74741,Total anomalous pulmonary venous connection
74742,Partial anomalous pulmonary venous connection
79430,"Abnormal cardiovascular function study, unspecified"
79431,Nonspecific abnormal electrocardiogram [ECG] [EKG]
79439,Other nonspecific abnormal results of function study of cardiovascular system
390,Rheumatic fever without mention of heart involvement
393,Chronic rheumatic pericarditis
412,Old myocardial infarction
0860,Chagas' disease with heart involvement
0930,"Aneurysm of aorta, specified as syphilitic"
0931,Syphilitic aortitis
0939,"Cardiovascular syphilis, unspecified"
1303,Myocarditis due to toxoplasmosis
3062,Cardiovascular malfunction arising from mental factors
03282,Diphtheritic myocarditis
03640,"Meningococcal carditis, unspecified"
03641,Meningococcal pericarditis
03642,Meningococcal endocarditis
03643,Meningococcal myocarditis
3910,Acute rheumatic pericarditis
3911,Acute rheumatic endocarditis
3912,Acute rheumatic myocarditis
3918,Other acute rheumatic heart disease
3919,"Acute rheumatic heart disease, unspecified"
3920,Rheumatic chorea with heart involvement
3940,Mitral stenosis
3941,Rheumatic mitral insufficiency
3942,Mitral stenosis with insufficiency
3949,Other and unspecified mitral valve diseases
3950,Rheumatic aortic stenosis
3951,Rheumatic aortic insufficiency
3952,Rheumatic aortic stenosis with insufficiency
3959,Other and unspecified rheumatic aortic diseases
3960,Mitral valve stenosis and aortic valve stenosis
3961,Mitral valve stenosis and aortic valve insufficiency
3962,Mitral valve insufficiency and aortic valve stenosis
3963,Mitral valve insufficiency and aortic valve insufficiency
3968,Multiple involvement of mitral and aortic valves
3969,"Mitral and aortic valve diseases, unspecified"
3970,Diseases of tricuspid valve
3971,Rheumatic diseases of pulmonary valve
3979,"Rheumatic diseases of endocardium, valve unspecified"
3980,Rheumatic myocarditis
4110,Postmyocardial infarction syndrome
4111,Intermediate coronary syndrome
4130,Angina decubitus
4131,Prinzmetal angina
4139,Other and unspecified angina pectoris
4142,Chronic total occlusion of coronary artery
4143,Coronary atherosclerosis due to lipid rich plaque
4144,Coronary atherosclerosis due to calcified coronary lesion
4148,Other specified forms of chronic ischemic heart disease
4149,"Chronic ischemic heart disease, unspecified"
4150,Acute cor pulmonale
4161,Kyphoscoliotic heart disease
4168,Other chronic pulmonary heart diseases
4169,"Chronic pulmonary heart disease, unspecified"
4200,Acute pericarditis in diseases classified elsewhere
4210,Acute and subacute bacterial endocarditis
4211,Acute and subacute infective endocarditis in diseases classified elsewhere
4219,"Acute endocarditis, unspecified"
4220,Acute myocarditis in diseases classified elsewhere
4230,Hemopericardium
4231,Adhesive pericarditis
4232,Constrictive pericarditis
4233,Cardiac tamponade
4238,Other specified diseases of pericardium
4239,Unspecified disease of pericardium
4240,Mitral valve disorders
4241,Aortic valve disorders
4242,"Tricuspid valve disorders, specified as nonrheumatic"
4243,Pulmonary valve disorders
4250,Endomyocardial fibrosis
4252,Obscure cardiomyopathy of Africa
4253,Endocardial fibroelastosis
4254,Other primary cardiomyopathies
4255,Alcoholic cardiomyopathy
4257,Nutritional and metabolic cardiomyopathy
4258,Cardiomyopathy in other diseases classified elsewhere
4259,"Secondary cardiomyopathy, unspecified"
4260,"Atrioventricular block, complete"
4262,Left bundle branch hemiblock
4263,Other left bundle branch block
4264,Right bundle branch block
4266,Other heart block
4267,Anomalous atrioventricular excitation
4269,"Conduction disorder, unspecified"
4270,Paroxysmal supraventricular tachycardia
4271,Paroxysmal ventricular tachycardia
4272,"Paroxysmal tachycardia, unspecified"
4275,Cardiac arrest
4279,"Cardiac dysrhythmia, unspecified"
4280,"Congestive heart failure, unspecified"
4281,Left heart failure
4289,"Heart failure, unspecified"
4290,"Myocarditis, unspecified"
4291,Myocardial degeneration
4292,"Cardiovascular disease, unspecified"
4293,Cardiomegaly
4294,Functional disturbances following cardiac surgery
4295,Rupture of chordae tendineae
4296,Rupture of papillary muscle
4299,"Heart disease, unspecified"
5300,Achalasia and cardiospasm
07420,"Coxsackie carditis, unspecified"
07421,Coxsackie pericarditis
07422,Coxsackie endocarditis
07423,Coxsackie myocarditis
7450,Common truncus
7452,Tetralogy of fallot
7453,Common ventricle
7454,Ventricular septal defect
7455,Ostium secundum type atrial septal defect
7457,Cor biloculare
7458,Other bulbus cordis anomalies and anomalies of cardiac septal closure
7459,Unspecified defect of septal closure
7461,"Tricuspid atresia and stenosis, congenital"
7462,Ebstein's anomaly
7463,Congenital stenosis of aortic valve
7464,Congenital insufficiency of aortic valve
7465,Congenital mitral stenosis
7466,Congenital mitral insufficiency
7467,Hypoplastic left heart syndrome
7469,Unspecified congenital anomaly of heart
7470,Patent ductus arteriosus
7850,"Tachycardia, unspecified"
7851,Palpitations
7852,Undiagnosed cardiac murmurs
7853,Other abnormal heart sounds
7859,Other symptoms involving cardiovascular system
09320,"Syphilitic endocarditis of valve, unspecified"
09321,Syphilitic endocarditis of mitral valve
09322,Syphilitic endocarditis of aortic valve
09323,Syphilitic endocarditis of tricuspid valve
09324,Syphilitic endocarditis of pulmonary valve
09381,Syphilitic pericarditis
09382,Syphilitic myocarditis
09389,Other specified cardiovascular syphilis
09882,Gonococcal meningitis
09883,Gonococcal pericarditis
09884,Gonococcal endocarditis
09885,Other gonococcal heart disease
9971,"Cardiac complications, not elsewhere classified"
11281,Candidal endocarditis
11503,"Infection by Histoplasma capsulatum, pericarditis"
11504,"Infection by Histoplasma capsulatum, endocarditis"
11513,"Infection by Histoplasma duboisii, pericarditis"
11514,"Infection by Histoplasma duboisii, endocarditis"
11593,"Histoplasmosis, unspecified, pericarditis"
11594,"Histoplasmosis, unspecified, endocarditis"
39890,"Rheumatic heart disease, unspecified"
39891,Rheumatic heart failure (congestive)
39899,Other rheumatic heart diseases
40200,Malignant hypertensive heart disease without heart failure
40201,Malignant hypertensive heart disease with heart failure
40210,Benign hypertensive heart disease without heart failure
40211,Benign hypertensive heart disease with heart failure
40290,Unspecified hypertensive heart disease without heart failure
40291,Unspecified hypertensive heart disease with heart failure
40400,"Hypertensive heart and chronic kidney disease, malignant, without heart failure and with chronic kidney disease stage I through stage IV, or unspecified"
40401,"Hypertensive heart and chronic kidney disease, malignant, with heart failure and with chronic kidney disease stage I through stage IV, or unspecified"
40402,"Hypertensive heart and chronic kidney disease, malignant, without heart failure and with chronic kidney disease stage V or end stage renal disease"
40403,"Hypertensive heart and chronic kidney disease, malignant, with heart failure and with chronic kidney disease stage V or end stage renal disease"
40410,"Hypertensive heart and chronic kidney disease, benign, without heart failure and with chronic kidney disease stage I through stage IV, or unspecified"
40411,"Hypertensive heart and chronic kidney disease, benign, with heart failure and with chronic kidney disease stage I through stage IV, or unspecified"
40412,"Hypertensive heart and chronic kidney disease, benign, without heart failure and with chronic kidney disease stage V or end stage renal disease"
40413,"Hypertensive heart and chronic kidney disease, benign, with heart failure and chronic kidney disease stage V or end stage renal disease"
40490,"Hypertensive heart and chronic kidney disease, unspecified, without heart failure and with chronic kidney disease stage I through stage IV, or unspecified"
40491,"Hypertensive heart and chronic kidney disease, unspecified, with heart failure and with chronic kidney disease stage I through stage IV, or unspecified"
40492,"Hypertensive heart and chronic kidney disease, unspecified, without heart failure and with chronic kidney disease stage V or end stage renal disease"
40493,"Hypertensive heart and chronic kidney disease, unspecified, with heart failure and chronic kidney disease stage V or end stage renal disease"
41000,"Acute myocardial infarction of anterolateral wall, episode of care unspecified"
41001,"Acute myocardial infarction of anterolateral wall, initial episode of care"
41002,"Acute myocardial infarction of anterolateral wall, subsequent episode of care"
41010,"Acute myocardial infarction of other anterior wall, episode of care unspecified"
41011,"Acute myocardial infarction of other anterior wall, initial episode of care"
41012,"Acute myocardial infarction of other anterior wall, subsequent episode of care"
41020,"Acute myocardial infarction of inferolateral wall, episode of care unspecified"
41021,"Acute myocardial infarction of inferolateral wall, initial episode of care"
41022,"Acute myocardial infarction of inferolateral wall, subsequent episode of care"
41030,"Acute myocardial infarction of inferoposterior wall, episode of care unspecified"
41031,"Acute myocardial infarction of inferoposterior wall, initial episode of care"
41032,"Acute myocardial infarction of inferoposterior wall, subsequent episode of care"
41040,"Acute myocardial infarction of other inferior wall, episode of care unspecified"
41041,"Acute myocardial infarction of other inferior wall, initial episode of care"
41042,"Acute myocardial infarction of other inferior wall, subsequent episode of care"
41050,"Acute myocardial infarction of other lateral wall, episode of care unspecified"
41051,"Acute myocardial infarction of other lateral wall, initial episode of care"
41052,"Acute myocardial infarction of other lateral wall, subsequent episode of care"
41060,"True posterior wall infarction, episode of care unspecified"
41061,"True posterior wall infarction, initial episode of care"
41062,"True posterior wall infarction, subsequent episode of care"
41070,"Subendocardial infarction, episode of care unspecified"
41071,"Subendocardial infarction, initial episode of care"
41072,"Subendocardial infarction, subsequent episode of care"
41080,"Acute myocardial infarction of other specified sites, episode of care unspecified"
41081,"Acute myocardial infarction of other specified sites, initial episode of care"
41082,"Acute myocardial infarction of other specified sites, subsequent episode of care"
41090,"Acute myocardial infarction of unspecified site, episode of care unspecified"
41091,"Acute myocardial infarction of unspecified site, initial episode of care"
41092,"Acute myocardial infarction of unspecified site, subsequent episode of care"
41181,Acute coronary occlusion without myocardial infarction
41189,"Other acute and subacute forms of ischemic heart disease, other"
41400,"Coronary atherosclerosis of unspecified type of vessel, native or graft"
41401,Coronary atherosclerosis of native coronary artery
41402,Coronary atherosclerosis of autologous vein bypass graft
41403,Coronary atherosclerosis of nonautologous biological bypass graft
41404,Coronary atherosclerosis of artery bypass graft
41405,Coronary atherosclerosis of unspecified bypass graft
41406,Coronary atherosclerosis of native coronary artery of transplanted heart
41407,Coronary atherosclerosis of bypass graft (artery) (vein) of transplanted heart
41410,Aneurysm of heart (wall)
41411,Aneurysm of coronary vessels
41412,Dissection of coronary artery
41419,Other aneurysm of heart
42090,"Acute pericarditis, unspecified"
42091,Acute idiopathic pericarditis
42099,Other acute pericarditis
42290,"Acute myocarditis, unspecified"
42291,Idiopathic myocarditis
42292,Septic myocarditis
42293,Toxic myocarditis
42299,Other acute myocarditis
42490,"Endocarditis, valve unspecified, unspecified cause"
42491,Endocarditis in diseases classified elsewhere
42499,"Other endocarditis, valve unspecified"
42511,Hypertrophic obstructive cardiomyopathy
42518,Other hypertrophic cardiomyopathy
42610,"Atrioventricular block, unspecified"
42611,First degree atrioventricular block
42612,Mobitz (type) II atrioventricular block
42613,Other second degree atrioventricular block
42650,"Bundle branch block, unspecified"
42651,Right bundle branch block and left posterior fascicular block
42652,Right bundle branch block and left anterior fascicular block
42653,Other bilateral bundle branch block
42654,Trifascicular block
42681,Lown-Ganong-Levine syndrome
42682,Long QT syndrome
42689,Other specified conduction disorders
42731,Atrial fibrillation
42732,Atrial flutter
42741,Ventricular fibrillation
42742,Ventricular flutter
42760,"Premature beats, unspecified"
42761,Supraventricular premature beats
42769,Other premature beats
42781,Sinoatrial node dysfunction
42789,Other specified cardiac dysrhythmias
42820,"Systolic heart failure, unspecified"
42821,Acute systolic heart failure
42822,Chronic systolic heart failure
42823,Acute on chronic systolic heart failure
42830,"Diastolic heart failure, unspecified"
42831,Acute diastolic heart failure
42832,Chronic diastolic heart failure
42833,Acute on chronic diastolic heart failure
42840,"Combined systolic and diastolic heart failure, unspecified"
42841,Acute combined systolic and diastolic heart failure
42842,Chronic combined systolic and diastolic heart failure
42843,Acute on chronic combined systolic and diastolic heart failure
42971,Acquired cardiac septal defect
42979,"Certain sequelae of myocardial infarction, not elsewhere classified, other"
42981,Other disorders of papillary muscle
42982,Hyperkinetic heart disease
42983,Takotsubo syndrome
42989,Other ill-defined heart diseases
64850,"Congenital cardiovascular disorders of mother, unspecified as to episode of care or not applicable"
64851,"Congenital cardiovascular disorders of mother, delivered, with or without mention of antepartum condition"
64852,"Congenital cardiovascular disorders of mother, delivered, with mention of postpartum complication"
64853,"Congenital cardiovascular disorders of mother, antepartum condition or complication"
64854,"Congenital cardiovascular disorders of mother, postpartum condition or complication"
64860,"Other cardiovascular diseases of mother, unspecified as to episode of care or not applicable"
64861,"Other cardiovascular diseases of mother, delivered, with or without mention of antepartum condition"
64862,"Other cardiovascular diseases of mother, delivered, with mention of postpartum complication"
64863,"Other cardiovascular diseases of mother, antepartum condition or complication"
64864,"Other cardiovascular diseases of mother, postpartum condition or complication"
65970,"Abnormality in fetal heart rate or rhythm, unspecified as to episode of care or not applicable"
65971,"Abnormality in fetal heart rate or rhythm, delivered, with or without mention of antepartum condition"
65973,"Abnormality in fetal heart rate or rhythm, antepartum condition or complication"
66810,"Cardiac complications of anesthesia or other sedation in labor and delivery, unspecified as to episode of care or not applicable"
66811,"Cardiac complications of anesthesia or other sedation in labor and delivery, delivered, with or without mention of antepartum condition"
66812,"Cardiac complications of anesthesia or other sedation in labor and delivery, delivered, with mention of postpartum complication"
66813,"Cardiac complications of anesthesia or other sedation in labor and delivery, antepartum condition or complication"
66814,"Cardiac complications of anesthesia or other sedation in labor and delivery, postpartum condition or complication"
67450,"Peripartum cardiomyopathy, unspecified as to episode of care or not applicable"
67451,"Peripartum cardiomyopathy, delivered, with or without mention of antepartum condition"
67452,"Peripartum cardiomyopathy, delivered, with mention of postpartum condition"
67453,"Peripartum cardiomyopathy, antepartum condition or complication"
67454,"Peripartum cardiomyopathy, postpartum condition or complication"
74510,Complete transposition of great vessels
74511,Double outlet right ventricle
74512,Corrected transposition of great vessels
74519,Other transposition of great vessels
74560,"Endocardial cushion defect, unspecified type"
74561,Ostium primum defect
74569,Other endocardial cushion defects
74600,"Congenital pulmonary valve anomaly, unspecified"
74601,"Atresia of pulmonary valve, congenital"
74602,"Stenosis of pulmonary valve, congenital"
74609,Other congenital anomalies of pulmonary valve
74681,Subaortic stenosis
74682,Cor triatriatum
74683,Infundibular pulmonic stenosis
74684,"Obstructive anomalies of heart, not elsewhere classified"
74685,Coronary artery anomaly
74686,Congenital heart block
74687,Malposition of heart and cardiac apex
74689,Other specified congenital anomalies of heart
74710,Coarctation of aorta (preductal) (postductal)
74711,Interruption of aortic arch
74720,"Anomaly of aorta, unspecified"
74721,Anomalies of aortic arch
74722,Atresia and stenosis of aorta
74729,Other anomalies of aorta
74731,Pulmonary artery coarctation and atresia
74732,Pulmonary arteriovenous malformation
74739,Other anomalies of pulmonary artery and pulmonary circulation
74740,"Anomaly of great veins, unspecified"
74741,Total anomalous pulmonary venous connection
74742,Partial anomalous pulmonary venous connection
74749,Other anomalies of great veins
77981,Neonatal bradycardia
77982,Neonatal tachycardia
77985,Cardiac arrest of newborn
78551,Cardiogenic shock
78650,"Chest pain, unspecified"
78651,Precordial pain
78659,Other chest pain
79430,"Abnormal cardiovascular function study, unspecified"
79431,Nonspecific abnormal electrocardiogram [ECG] [EKG]
79439,Other nonspecific abnormal results of function study of cardiovascular system
86100,Unspecified injury of heart without mention of open wound into thorax
86101,Contusion of heart without mention of open wound into thorax
86102,Laceration of heart without penetration of heart chambers or without mention of open wound into thorax
86103,Laceration of heart with penetration of heart chambers without mention of open wound into thorax
86110,Unspecified injury of heart with open wound into thorax
86111,Contusion of heart with open wound into thorax
86112,"Laceration of heart without penetration of heart chambers, with open wound into thorax"
86113,Laceration of heart with penetration of heart chambers with open wound into thorax
99601,Mechanical complication due to cardiac pacemaker (electrode)
99602,Mechanical complication due to heart valve prosthesis
99603,Mechanical complication due to coronary bypass graft
99604,Mechanical complication of automatic implantable cardiac defibrillator
99609,"Other mechanical complication of cardiac device, implant, and graft"
99661,"Infection and inflammatory reaction due to cardiac device, implant, and graft"
99672,"Other complications due to other cardiac device, implant, and graft"
99801,"Postoperative shock, cardiogenic"